opencpnName,category,matchKind,esriName,opencpnColorRefs,opencpnDayColors,opencpnBitmap,matchReason
"ACHARE02","POINT","CUSTOM_SYMBOL_MAP","N10_Reported_anchorage.svg","ACHMGD","","rastersymbols-day.png:10,10,13x16@6,8","CustomSymbolMap object rule for ACHARE"
"ACHARE51","POINT","CUSTOM_SYMBOL_MAP","N10_Reported_anchorage.svg","ADEPMDBCHMGD","","rastersymbols-day.png:373,415,25x29@18,1","CustomSymbolMap object rule for ACHARE"
"ACHBRT07","POINT","UNRESOLVED","","ACHMGD","","rastersymbols-day.png:79,10,16x16@8,8","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ACHRES51","POINT","UNRESOLVED","","ACHMGF","","rastersymbols-day.png:105,10,36x38@-18,-14","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ACHRES61","POINT","UNRESOLVED","","ACHMGFCCHMGD","","rastersymbols-day.png:151,10,42x38@-18,-14","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ACHRES71","POINT","UNRESOLVED","","ACHMGFCCHMGD","","rastersymbols-day.png:203,10,43x38@-12,-14","no exact/direct/semantic ESRI match; generic category fallback disabled"
"AIRARE02","POINT","UNRESOLVED","","ALANDF","","rastersymbols-day.png:256,10,24x24@11,11","no exact/direct/semantic ESRI match; generic category fallback disabled"
"AISDEF01","POINT","UNRESOLVED","","AARPATCCHMGD","","rastersymbols-day.png:290,10,17x23@3,20","no exact/direct/semantic ESRI match; generic category fallback disabled"
"AISONE01","POINT","UNRESOLVED","","AARPAT","","rastersymbols-day.png:317,10,13x6@6,5","no exact/direct/semantic ESRI match; generic category fallback disabled"
"AISSIX01","POINT","UNRESOLVED","","AARPAT","","rastersymbols-day.png:340,10,13x7@6,6","no exact/direct/semantic ESRI match; generic category fallback disabled"
"AISSLP01","POINT","UNRESOLVED","","AARPAT","","rastersymbols-day.png:363,10,9x23@3,20","no exact/direct/semantic ESRI match; generic category fallback disabled"
"AISVES01","POINT","UNRESOLVED","","AARPAT","","rastersymbols-day.png:382,10,15x37@7,29","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ARPATG01","POINT","UNRESOLVED","","eARPAT","","rastersymbols-day.png:407,10,15x15@7,7","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ARPONE01","POINT","UNRESOLVED","","AARPAT","","rastersymbols-day.png:432,10,13x2@-2147483648,-2147483648","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ARPSIX01","POINT","UNRESOLVED","","AARPAT","","rastersymbols-day.png:455,10,13x2@-2147483648,-2147483648","no exact/direct/semantic ESRI match; generic category fallback disabled"
"BCNCAR01","POINT","CUSTOM_SYMBOL_MAP","Q80_Beacon.svg","mOUTLWHCHYLW","","rastersymbols-day.png:478,10,13x19@6,9","CustomSymbolMap object rule for BCNCAR"
"BCNCAR02","POINT","CUSTOM_SYMBOL_MAP","Q80_Beacon.svg","mOUTLWHCHYLW","","rastersymbols-day.png:501,10,13x20@6,10","CustomSymbolMap object rule for BCNCAR"
"BCNCAR03","POINT","CUSTOM_SYMBOL_MAP","Q80_Beacon.svg","mOUTLWHCHYLW","","rastersymbols-day.png:524,10,13x19@6,9","CustomSymbolMap object rule for BCNCAR"
"BCNCAR04","POINT","CUSTOM_SYMBOL_MAP","Q80_Beacon.svg","mOUTLWHCHYLW","","rastersymbols-day.png:547,10,13x19@6,9","CustomSymbolMap object rule for BCNCAR"
"BCNDEF13","POINT","SEMANTIC_TOKEN","Q83_Beacon_submerged_rock.svg","ACHMGDCCHGRDDOUTLW","","rastersymbols-day.png:570,10,16x14@3,6","semantic token match for BCNDEF"
"BCNGEN01","POINT","SEMANTIC_TOKEN","Q83_Beacon_submerged_rock.svg","ADEPMDBCHBLK","","rastersymbols-day.png:147,415,10x18@4,15","semantic token match for BCNGEN"
"BCNGEN03","POINT","SEMANTIC_TOKEN","Q83_Beacon_submerged_rock.svg","ACHMGDCCHBLK","","rastersymbols-day.png:616,10,18x16@4,14","semantic token match for BCNGEN"
"BCNISD21","POINT","CUSTOM_SYMBOL_MAP","Q80_Beacon.svg","AOUTLWCCHRED","","rastersymbols-day.png:644,10,8x17@3,8","CustomSymbolMap object rule for BCNISD"
"BCNLAT15","POINT","CUSTOM_SYMBOL_MAP","Q90_Stake_pole.svg","FCHREDmOUTLW","","rastersymbols-day.png:662,10,7x13@3,6","CustomSymbolMap object rule for BCNLAT"
"BCNLAT16","POINT","CUSTOM_SYMBOL_MAP","Q90_Stake_pole.svg","GCHGRNmOUTLW","","rastersymbols-day.png:679,10,7x13@3,6","CustomSymbolMap object rule for BCNLAT"
"BCNLAT21","POINT","CUSTOM_SYMBOL_MAP","Q90_Stake_pole.svg","aOUTLWbCHRED","","rastersymbols-day.png:696,10,5x15@1,7","CustomSymbolMap object rule for BCNLAT"
"BCNLAT22","POINT","CUSTOM_SYMBOL_MAP","Q90_Stake_pole.svg","aOUTLWbCHGRN","","rastersymbols-day.png:711,10,5x15@1,7","CustomSymbolMap object rule for BCNLAT"
"BCNLTC01","POINT","SEMANTIC_TOKEN","Q83_Beacon_submerged_rock.svg","ADEPMDBCHBLK","","rastersymbols-day.png:802,742,15x18@7,14","semantic token match for BCNLTC"
"BCNSAW13","POINT","CUSTOM_SYMBOL_MAP","Q92_Withy_port.svg","CCHBLKmOUTLWBDEPVS","","rastersymbols-day.png:751,10,7x13@3,6","CustomSymbolMap object rule for BCNSAW"
"BCNSAW21","POINT","CUSTOM_SYMBOL_MAP","Q92_Withy_port.svg","aOUTLWbCHBLKBDEPVS","","rastersymbols-day.png:768,10,5x15@1,7","CustomSymbolMap object rule for BCNSAW"
"BCNSPP13","POINT","CUSTOM_SYMBOL_MAP","Q90_Stake_pole.svg","HCHYLWmOUTLW","","rastersymbols-day.png:783,10,7x13@3,6","CustomSymbolMap object rule for BCNSPP"
