sourceName,targetName,status,confidence,reason
"WRECKS01","K24_Wreck_showing_hull.svg","alias_target_missing","medium","Seed wreck hull equivalent."
"WRECKS05","K25_Wreck_danger_no_depth.svg","alias_target_missing","medium","Seed dangerous wreck no-depth equivalent."
"BOYCON01","Q20b_Conical_buoy.svg","aliased","medium","Seed INT1 conical buoy equivalent; refine after full OpenCPN symbol extraction."
"BOYSPH01","Q22a_Spherical_buoy.svg","aliased","medium","Seed INT1 spherical buoy equivalent."
"LOWACC01","GENERATED_LOWACC01","aliased","medium","Required low-accuracy point marker; generated composite planned."
"ACHARE02","","missing_alias_or_generated_symbol","",""
"ACHARE51","","missing_alias_or_generated_symbol","",""
"ACHBRT07","","missing_alias_or_generated_symbol","",""
"ACHPNT01","","missing_alias_or_generated_symbol","",""
"ACHRES61","","missing_alias_or_generated_symbol","",""
"ACHRES71","","missing_alias_or_generated_symbol","",""
"ADDMRK01","","missing_alias_or_generated_symbol","",""
"ADDMRK02","","missing_alias_or_generated_symbol","",""
"ADDMRK05","","missing_alias_or_generated_symbol","",""
"AIRARE02","","missing_alias_or_generated_symbol","",""
"AISDEF01","","missing_alias_or_generated_symbol","",""
"AISONE01","","missing_alias_or_generated_symbol","",""
"AISSIX01","","missing_alias_or_generated_symbol","",""
"AISSLP01","","missing_alias_or_generated_symbol","",""
"AISVES01","","missing_alias_or_generated_symbol","",""
"ARPATG01","","missing_alias_or_generated_symbol","",""
"ARPONE01","","missing_alias_or_generated_symbol","",""
"ARPSIX01","","missing_alias_or_generated_symbol","",""
"B""
    private const val LOOKUPS_DATA_10: String = ""OYCAN71","","missing_alias_or_generated_symbol","",""
"BCNCAR01","","missing_alias_or_generated_symbol","",""
"BCNCAR02","","missing_alias_or_generated_symbol","",""
"BCNCAR03","","missing_alias_or_generated_symbol","",""
"BCNCAR04","","missing_alias_or_generated_symbol","",""
"BCNCON81","","missing_alias_or_generated_symbol","",""
"BCNDEF13","","missing_alias_or_generated_symbol","",""
