category,opencpn_name,output_svg,esri_source,match_kind,reason
"POINT","ACHARE02","symbols/ACHARE02.svg","N10_Reported_anchorage.svg","CUSTOM_SYMBOL_MAP","CustomSymbolMap object rule for ACHARE"
"POINT","ACHARE51","symbols/ACHARE51.svg","N10_Reported_anchorage.svg","CUSTOM_SYMBOL_MAP","CustomSymbolMap object rule for ACHARE"
"POINT","ACHBRT07","symbols/ACHBRT07.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","ACHRES51","symbols/ACHRES51.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","ACHRES61","symbols/ACHRES61.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","ACHRES71","symbols/ACHRES71.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","AIRARE02","symbols/AIRARE02.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","AISDEF01","symbols/AISDEF01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","AISONE01","symbols/AISONE01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","AISSIX01","symbols/AISSIX01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","AISSLP01","symbols/AISSLP01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","AISVES01","symbols/AISVES01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","ARPATG01","symbols/ARPATG01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","ARPONE01","symbols/ARPONE01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","ARPSIX01","symbols/ARPSIX01.svg","","UNRESOLVED","no exact/direct/semantic ESRI match; generic category fallback disabled"
"POINT","BCNCAR01","symbols/BCNCAR01.svg","Q80_Beacon.svg","CUSTOM_SYMBOL_MAP","CustomSymbolMap object rule for BCNCAR"
"POINT","BCNCAR02","symbols/BCNCAR02.svg","Q80_Beacon.svg","CUSTOM_SYMBOL_MAP","CustomSymbolMap object rule for BCNCAR"
