object_acronym,primitive,output_svg,opencpn_instruction_asset,esri_source,match_kind,source_instruction
"######","Point","objects/______.svg","QUESMRK1","","UNRESOLVED","SY(QUESMRK1)"
"ACHARE","Point","objects/ACHARE.svg","ACHARE02","N10_Reported_anchorage.svg","CUSTOM_SYMBOL_MAP","SY(ACHARE02)"
"ACHBRT","Point","objects/ACHBRT.svg","ACHBRT07","","UNRESOLVED","SY(ACHBRT07);TE('%s','OBJNAM',3,1,2,'15110',1,0,CHBLK,29)"
"ADMARE","Area","objects/ADMARE.svg","DASH","","UNRESOLVED","LS(DASH,2,CHGRF)"
"AIRARE","Point","objects/AIRARE.svg","AIRARE02","","UNRESOLVED","SY(AIRARE02)"
"ARCSLN","Area","objects/ARCSLN.svg","ARCSLN01","","UNRESOLVED","LC(ARCSLN01)"
"BERTHS","Point","objects/BERTHS.svg","BRTHNO01","","UNRESOLVED","SY(BRTHNO01);TE('%s','OBJNAM',3,1,2,'15110',1,0,CHBLK,29)"
"BRIDGE","Point","objects/BRIDGE.svg","BRIDGE01","","UNRESOLVED","SY(BRIDGE01)"
"BUAARE","Point","objects/BUAARE.svg","BUAARE02","","UNRESOLVED","SY(BUAARE02);TX(OBJNAM,3,2,2,'15114',1,0,CHBLK,26)"
"BUISGL","Point","objects/BUISGL.svg","POSGEN03","","UNRESOLVED","SY(POSGEN03);TX(OBJNAM,3,2,2,'15110',1,0,CHBLK,26)"
"CANALS","Line","objects/CANALS.svg","SOLD","","UNRESOLVED","LS(SOLD,1,CHBLK)"
"CAUSWY","Line","objects/CAUSWY.svg","DASH","","UNRESOLVED","LS(DASH,3,LANDF)"
"CBLARE","Area","objects/CBLARE.svg","CBLARE51","","UNRESOLVED","SY(CBLARE51);LS(DASH,2,CHMGD);CS(RESTRN01)"
"CHKPNT","Point","objects/CHKPNT.svg","CUSTOM01","","UNRESOLVED","SY(CUSTOM01)"
"CONVYR","Line","objects/CONVYR.svg","RACNSP01","","UNRESOLVED","LS(DASH,4,CHGRD);SY(RACNSP01);TE('clr %4.1lf','VERCLR',3,1,2,'15110',1,0,CHBLK,11)"
"CONZNE","Area","objects/CONZNE.svg","DASH","","UNRESOLVED","LS(DASH,2,CHGRF)"
"COSARE","Area","objects/COSARE.svg","DASH","","UNRESOLVED","LS(DASH,2,CHGRF)"
"CRANES","Point","objects/CRANES.svg","CRANES01","F53_Crane.svg","CUSTOM_SYMBOL_MAP","SY(CRANES01)"
"CTNARE","Point","objects/CTNARE.svg","CHINFO06","","UNRESOLVED","SY(CHINFO06)"
"CTSARE","Point","objects/CTSARE.svg","CHINFO07","","UNRESOLVED","SY(CHINFO07)"
"CUSZNE","Area","objects/CUSZNE.svg","DASH","","UNRESOLVED","LS(DASH,1,CHGRF)"
"DAMCON","Point","objects/DAMCON.svg","CHINFO06","","UNRESOLVED","SY(CHINFO06)"
"DEPARE","Area","objects/DEPARE.svg","SOLD","","UNRESOLVED","AC(NODTA);AP(PRTSUR01);LS(SOLD,2,CHGRD)"
"DMPGRD","Point","objects/DMPGRD.svg","CHINFO07","","UNRESOLVED","SY(CHINFO07)"
"DOCARE","Area","objects/DOCARE.svg","DASH","","UNRESOLVED","AC(DEPVS);TX(OBJNAM,1,2,3,'15110',0,0,CHBLK,26);LS(DASH,1,CHBLK)"
"DRGARE","Area","objects/DRGARE.svg","DRGARE","","UNRESOLVED","CS(DEPARE01)"
"DRYDOC","Area","objects/DRYDOC.svg","SOLD","","UNRESOLVED","AC(LANDA);LS(SOLD,1,CSTLN)"
"DWRTPT","Area","objects/DWRTPT.svg","TSSLPT51,ORIENT","","UNRESOLVED","SY(TSSLPT51,ORIENT);SY(DWRTPT51);LS(DASH,2,TRFCD);CS(RESTRN01)"
"DYKCON","Line","objects/DYKCON.svg","SOLD","","UNRESOLVED","LS(SOLD,2,CHBLK)"
"EXEZNE","Area","objects/EXEZNE.svg","DASH","","UNRESOLVED","LS(DASH,2,CHGRF)"
"FAIRWY","Area","objects/FAIRWY.svg","FAIRWY51,ORIENT","","UNRESOLVED","SY(FAIRWY51,ORIENT);LS(DASH,1,CHGRD);CS(RESTRN01)"
"FERYRT","Line","objects/FERYRT.svg","FERYRT01","","UNRESOLVED","LC(FERYRT01)"
"FLODOC","Line","objects/FLODOC.svg","SOLD","","UNRESOLVED","LS(SOLD,3,CSTLN)"
"FORSTC","Point","objects/FORSTC.svg","FORSTC11","","UNRESOLVED","SY(FORSTC11)"
"FRPARE","Area","objects/FRPARE.svg","DASH","","UNRESOLVED","LS(DASH,2,CHGRF)"
"FSHFAC","Point","objects/FSHFAC.svg","FSHFAC03","","UNRESOLVED","SY(FSHFAC03)"
"FSHGRD","Area","objects/FSHGRD.svg","FSHGRD01","","UNRESOLVED","SY(FSHGRD01);LS(DASH,2,CHGRF)"
"FSHZNE","Area","objects/FSHZNE.svg","DASH","","UNRESOLVED","LS(DASH,2,CHGRF)"
"GATCON","Point","objects/GATCON.svg","GATCON04","","UNRESOLVED","SY(GATCON04)"
"GRIDRN","Area","objects/GRIDRN.svg","DASH","","UNRESOLVED","LS(DASH,1,CHGRD)"
"HRBARE","Area","objects/HRBARE.svg","SMCFAC02","","UNRESOLVED","SY(SMCFAC02);TX(OBJNAM,1,2,3,'15106',0,0,CHBLK,28);LS(DASH,1,CHGRD)"
"HRBFAC","Point","objects/HRBFAC.svg","ROLROL01","","UNRESOLVED","SY(ROLROL01)"
"HULKES","Point","objects/HULKES.svg","HULKES01","","UNRESOLVED","SY(HULKES01)"
"ICEARE","Area","objects/ICEARE.svg","DASH","","UNRESOLVED","AC(NODTA);AP(ICEARE04);LS(DASH,1,CHGRD)"
"ICNARE","Point","objects/ICNARE.svg","CHINFO07","","UNRESOLVED","SY(CHINFO07)"
"ISTZNE","Area","objects/ISTZNE.svg","ITZARE51","","UNRESOLVED","SY(ITZARE51);LS(DASH,1,TRFCD);CS(RESTRN01)"
"LAKARE","Area","objects/LAKARE.svg","SOLD","","UNRESOLVED","AC(DEPVS);LS(SOLD,1,CHBLK)"
"LNDARE","Point","objects/LNDARE.svg","LNDARE01","K10_LandPoint.svg","SEMANTIC_TOKEN","SY(LNDARE01);CS(QUAPOS01;TX(OBJNAM,1,2,3,'15118',-1,-1,CHBLK,26))"
"LNDMRK","Point","objects/LNDMRK.svg","BUIREL13","","UNRESOLVED","SY(BUIREL13)"
"LNDRGN","Point","objects/LNDRGN.svg","POSGEN04","","UNRESOLVED","SY(POSGEN04);TX(OBJNAM,1,2,2,'15120',0,-1,CHBLK,26)"
"LOCMAG","Point","objects/LOCMAG.svg","LOCMAG01","","UNRESOLVED","SY(LOCMAG01)"
"LOGPON","Area","objects/LOGPON.svg","DASH","","UNRESOLVED","LS(DASH,1,CHBLK)"
"LOKBSN","Area","objects/LOKBSN.svg","SOLD","","UNRESOLVED","AC(DEPVS);LS(SOLD,1,CHBLK)"
"MAGVAR","Point","objects/MAGVAR.svg","MAGVAR01","","UNRESOLVED","SY(MAGVAR01);TX(VALMAG,3,1,2,'15110',1,-1,CHBLK,27)"
"MARCUL","Point","objects/MARCUL.svg","MARCUL02","K48_Marine_farm.svg","CUSTOM_SYMBOL_MAP","SY(MARCUL02)"
"MIPARE","Point","objects/MIPARE.svg","CHINFO06","","UNRESOLVED","SY(CHINFO06)"
"MORFAC","Point","objects/MORFAC.svg","MORFAC03","Q40a_Mooring_buoy.svg","CUSTOM_SYMBOL_MAP","SY(MORFAC03)"
"M_ACCY","Area","objects/M_ACCY.svg","M_ACCY","","UNRESOLVED",""
"M_COVR","Area","objects/M_COVR.svg","M_COVR","","UNRESOLVED","CS(DATCVR01)"
"M_CSCL","Area","objects/M_CSCL.svg","M_CSCL","","UNRESOLVED","CS(DATCVR01)"
"M_HOPA","Area","objects/M_HOPA.svg","M_HOPA","","UNRESOLVED",""
"M_NPUB","Point","objects/M_NPUB.svg","CHINFO07","","UNRESOLVED","SY(CHINFO07)"
"M_NSYS","Area","objects/M_NSYS.svg","DIRBOYA1,ORIENT","Q22a_Spherical_buoy.svg","SEMANTIC_TOKEN","SY(DIRBOYA1,ORIENT);LS(DASH,1,CHYLW)"
"M_QUAL","Area","objects/M_QUAL.svg","DASH","","UNRESOLVED","AP(DQUALA11);LS(DASH,2,CHGRD)"
"M_SDAT","Area","objects/M_SDAT.svg","M_SDAT","","UNRESOLVED",""
"M_SREL","Area","objects/M_SREL.svg","M_SREL","","UNRESOLVED",""
"M_VDAT","Area","objects/M_VDAT.svg","M_VDAT","","UNRESOLVED",""
"NEWOBJ","Point","objects/NEWOBJ.svg","NEWOBJ 01","","UNRESOLVED","SY(NEWOBJ 01)"
"OBSTRN","Point","objects/OBSTRN.svg","FLTHAZ02","","UNRESOLVED","SY(FLTHAZ02)"
"OFSPLF","Point","objects/OFSPLF.svg","OFSPLF01","L10_Offshore_platform.svg","CUSTOM_SYMBOL_MAP","SY(OFSPLF01);TE('Prod %s','OBJNAM',3,1,2,'15110',1,-1,CHBLK,21)"
"OSPARE","Area","objects/OSPARE.svg","CTYARE51","","UNRESOLVED","SY(CTYARE51);LS(DASH,2,CHMGD);CS(RESTRN01)"
"PILBOP","Point","objects/PILBOP.svg","PILBOP02","T1_pilot_boarding_place.svg","CUSTOM_SYMBOL_MAP","SY(PILBOP02);TE('Plt %s','OBJNAM',3,1,2,'15110',1,-1,CHBLK,21)"
"PIPARE","Point","objects/PIPARE.svg","CHINFO07","","UNRESOLVED","SY(CHINFO07)"
"PONTON","Line","objects/PONTON.svg","SOLD","","UNRESOLVED","LS(SOLD,2,CSTLN)"
"PRCARE","Point","objects/PRCARE.svg","PRCARE12","","UNRESOLVED","SY(PRCARE12)"
"PRDARE","Point","objects/PRDARE.svg","FLASTK11","","UNRESOLVED","SY(FLASTK11)"
"PYLONS","Point","objects/PYLONS.svg","POSGEN03","","UNRESOLVED","SY(POSGEN03)"
"RADRNG","Area","objects/RADRNG.svg","DASH","","UNRESOLVED","LS(DASH,1,TRFCF)"
"RAPIDS","Line","objects/RAPIDS.svg","SOLD","","UNRESOLVED","LS(SOLD,3,CHGRD)"
"RCTLPT","Point","objects/RCTLPT.svg","RCTLPT52,ORIENT","","UNRESOLVED","SY(RCTLPT52,ORIENT)"
"RECTRC","Line","objects/RECTRC.svg","RECTRC12","","UNRESOLVED","LC(RECTRC12);TE('%03.0lf deg','ORIENT',3,1,2,'15110',1,-1,CHBLK,11)"
"RESARE","Area","objects/RESARE.svg","ESSARE01","","UNRESOLVED","SY(ESSARE01);LC(ESSARE01)"
"RIVERS","Line","objects/RIVERS.svg","SOLD","","UNRESOLVED","LS(SOLD,1,CHBLK)"
"ROADWY","Line","objects/ROADWY.svg","SOLD","","UNRESOLVED","LS(SOLD,2,LANDF)"
"RUNWAY","Line","objects/RUNWAY.svg","SOLD","","UNRESOLVED","LS(SOLD,3,LANDF)"
"SBDARE","Line","objects/SBDARE.svg","SOLD","","UNRESOLVED","LS(SOLD,1,CHGRD);TX(NATSUR,1,2,2,'15110',0,0,CHBLK,25)"
"SEAARE","Area","objects/SEAARE.svg","SEAARE","","UNRESOLVED","TX(OBJNAM,1,2,3,'15110',0,0,CHBLK,26)"
"SILTNK","Point","objects/SILTNK.svg","SILBUI11","","UNRESOLVED","SY(SILBUI11)"
"SLCONS","Point","objects/SLCONS.svg","MORFAC03","Q40a_Mooring_buoy.svg","CUSTOM_SYMBOL_MAP","SY(MORFAC03);CS(SLCONS03)"
"SLOGRD","Point","objects/SLOGRD.svg","HILTOP01","","UNRESOLVED","SY(HILTOP01)"
"SMCFAC","Area","objects/SMCFAC.svg","SMCFAC02","","UNRESOLVED","AC(CHBRN);SY(SMCFAC02);LS(SOLD,1,LANDF)"
"SNDWAV","Point","objects/SNDWAV.svg","SNDWAV02","","UNRESOLVED","SY(SNDWAV02)"
"SPLARE","Point","objects/SPLARE.svg","CHINFO06","","UNRESOLVED","SY(CHINFO06)"
"SUBTLN","Area","objects/SUBTLN.svg","CTYARE51","","UNRESOLVED","SY(CTYARE51);LS(DASH,1,CHMGD);CS(RESTRN01)"
"SWPARE","Area","objects/SWPARE.svg","SWPARE51","","UNRESOLVED","SY(SWPARE51);TE('swept to %5.1lf','DRVAL1',1,2,2,'15110',0,1,CHBLK,27);LS(DASH,1,CHGRD)"
"TESARE","Area","objects/TESARE.svg","DASH","","UNRESOLVED","LS(DASH,2,CHGRF);CS(RESTRN01)"
"TIDEWY","Line","objects/TIDEWY.svg","SOLD","","UNRESOLVED","LS(SOLD,1,CHGRF)"
"TSEZNE","Area","objects/TSEZNE.svg","TSEZNE","","UNRESOLVED","AC(TRFCF,3)"
"TSSCRS","Area","objects/TSSCRS.svg","TSSCRS51","","UNRESOLVED","AP(TSSJCT02);SY(TSSCRS51);CS(RESTRN01)"
"TSSLPT","Area","objects/TSSLPT.svg","TSSLPT51,ORIENT","","UNRESOLVED","SY(TSSLPT51,ORIENT);CS(RESTRN01)"
"TSSRON","Area","objects/TSSRON.svg","TSSRON51","","UNRESOLVED","SY(TSSRON51);CS(RESTRN01)"
"TS_FEB","Point","objects/TS_FEB.svg","FLDSTR01,ORIENT","","UNRESOLVED","SY(FLDSTR01,ORIENT);TE('%4.1lf kn','CURVEL',3,1,2,'15110',1,-1,CHBLK,31)"
"TS_PAD","Point","objects/TS_PAD.svg","TIDSTR01","","UNRESOLVED","SY(TIDSTR01)"
"TS_PNH","Point","objects/TS_PNH.svg","TIDSTR01","","UNRESOLVED","SY(TIDSTR01)"
"TS_PRH","Point","objects/TS_PRH.svg","TIDSTR01","","UNRESOLVED","SY(TIDSTR01)"
"TS_TIS","Point","objects/TS_TIS.svg","TIDSTR01","","UNRESOLVED","SY(TIDSTR01)"
"TUNNEL","Line","objects/TUNNEL.svg","DASH","","UNRESOLVED","LS(DASH,2,CHBLK)"
"TWRTPT","Area","objects/TWRTPT.svg","TWRTPT53,ORIENT","","UNRESOLVED","SY(TWRTPT53,ORIENT);LS(DASH,2,TRFCD)"
"T_HMON","Point","objects/T_HMON.svg","TIDEHT01","","UNRESOLVED","SY(TIDEHT01)"
"T_NHMN","Point","objects/T_NHMN.svg","TIDEHT01","","UNRESOLVED","SY(TIDEHT01)"
