name,status,target
"WRECKS01","alias_target_missing","K24_Wreck_showing_hull.svg"
"WRECKS05","alias_target_missing","K25_Wreck_danger_no_depth.svg"
"ACHARE02","missing",""
"ACHARE51","missing",""
"ACHBRT07","missing",""
"ACHPNT01","missing",""
"ACHRES61","missing",""
"ACHRES71","missing",""
"ADDMRK01","missing",""
"ADDMRK02","missing",""
"ADDMRK05","missing",""
"AIRARE02","missing",""
"AISDEF01","missing",""
"AISONE01","missing",""
"AISSIX01","missing",""
"AISSLP01","missing",""
"AISVES01","missing",""
"ARPATG01","missing",""
"ARPONE01","missing",""
"ARPSIX01","missing",""
"B""
    private const val LOOKUPS_DATA_10: String = ""OYCAN71","missing",""
"BCNCAR01","missing",""
"BCNCAR02","missing",""
"BCNCAR03","missing",""
"BCNCAR04","missing",""
"BCNCON81","missing",""
"BCNDEF13","missing",""
"BCNGEN01","missing",""
"BCNGEN03","missing",""
"BCNGEN05","missing",""
"BCNGEN60","missing",""
"BCNGEN61","missing",""
"BCNGEN64","missing",""
"BCNGEN65","missing",""
"BCNGEN68","missing",""
"BCNGEN69","missing",""
"BCNGEN70","missing",""
"BCNGEN71","missing",""
"BCNGEN76","missing",""
"BCNGEN79","missing",""
"BCNGEN80","missing",""
"BCNISD21","missing",""
"BCNLAT15","missing",""
"BCNLAT16","missing",""
"BCNLAT21","missing",""
"BCNLAT22","missing",""
"BCNLAT23","missing",""
"BCNLAT50","missing",""
"BCNLTC01","missing",""
"BCNSAW13","missing",""
"BCNSAW21","missing",""
"BCNSPP13","missing",""
"BCNSPP21","missing",""
"BCNSPR62","missing",""
"BCNSTK02","missing",""
"BCNSTK03","missing",""
"BCNSTK05","missing",""
"BCNSTK08","missing",""
"BCNSTK60","missing",""
"BCNSTK61","missing",""
"BCNSTK62","missing",""
"BCNSTK77","missing",""
"BCNSTK78","missing",""
"BCNSTK79","missing",""
"BCNSTK80","missing",""
"BCNSTK81","missing",""
"BCNSTK82","missing",""
"BCNSTK83","missing",""
"BCNTOW01","missing",""
"BCNTOW05","missing",""
"BCNTOW60","missing",""
"BCNTOW61","missing",""
"BCNTOW62","missing",""
"BCNTOW63","missing",""
"BCNTOW64","missing",""
"BCNTOW65","missing",""
"BCNTOW66","missing",""
"BCNTOW68","missing",""
"BCNTOW69","missing",""
"BCNTOW70","missing",""
"BCNTOW71","missing",""
"BCNTOW74","missing",""
"BCNTOW76","missing",""
"BCNTOW85","missing",""
"BCNTOW86","missing",""
"BCNTOW87","missing",""
"BCNTOW88","missing",""
"BCNTOW89","missing",""
"BCNTOW90","missing",""
"BCNTOW91","missing",""
"BLKADJ01","missing",""
"BORDER01","missing",""
"BOYBAR01","missing",""
"BOYBAR60","missing",""
"BOYBAR61","missing",""
"BOYBAR62","missing",""
"BOYCAN01","missing",""
"BOYCAN60","missing",""
"BOYCAN61","missing",""
"BOYCAN62","missing",""
"BOYCAN63","missing",""
"BOYCAN64","missing",""
"BOYCAN65","missing",""
"BOYCAN68","missing",""
"BOYCAN69","missing",""
"BOYCAN70","missing",""
"BOYCAN72","missing",""
"BOYCAN73","missing",""
"BOYCAN74","missing",""
"BOYCAN75","missing",""
"BOYCAN76","missing",""
"BOYCAN77","missing",""
"BOYCAN78","missing",""
"BOYCAN79","missing",""
"BOYCAN80","missing",""
"BOYCAN81","missing",""
"BOYCAN82","missing",""
"BOYCAN83","missing",""
"BOYCAR01","missing",""
"BOYCAR02","missing",""
"BOYCAR03","missing",""
"BOYCAR04","missing",""
"BOYCON60","missing",""
"BOYCON61","missing",""
"BOYCON62","missing",""
"BOYCON63","missing",""
"BOYCON64","missing",""
"BOYCON65","missing",""
"BOYCON66","missing",""
"BOYCON67","missing",""
"BOYCON68","missing",""
"BOYCON69","missing",""
"BOYCON70","missing",""
"BOYCON71","missing",""
"BOYCON72","missing",""
"BOYCON73","missing",""
"BOYCON74","missing",""
"BOYCON77","missing",""
"BOYCON78","missing",""
"BOYCON79","missing",""
"BOYCON80","missing",""
"BOYCON81","missing",""
"BOYDEF03","missing",""
"BOYGEN03","missing",""
"BOYINB01","missing",""
"BOYISD12","missing",""
"BOYLAT13","missing",""
"BOYLAT14","missing",""
"BOYLAT23","missing",""
"BOYLAT24","missing",""
"BOYLAT25","missing",""
"BOYLAT26","missing",""
"BOYLAT27","missing",""
"BOYLAT50","missing",""
"BOYLAT51","missing",""
"BOYLAT52","missing",""
"BOYLAT53","missing",""
"BOYLAT54","missing",""
"BOYLAT55","missing",""
"BOYLAT56","missing",""
"BOYMOR01","missing",""
"BOYMOR03","missing",""
"BOYMOR11","missing",""
"BOYMOR31","missing",""
"BOYPIL01","missing",""
"BOYPIL59","missing",""
"BOYPIL60","missing",""
"BOYPIL61","missing",""
"BOYPIL62","missing",""
"BOYPIL66","missing",""
"BOYPIL67","missing",""
"BOYPIL68","missing",""
"BOYPIL69","missing",""
"BOYPIL70","missing",""
"BOYPIL71","missing",""
"BOYPIL72","missing",""
"BOYPIL73","missing",""
"BOYPIL74","missing",""
"BOYPIL78","missing",""
"BOYPIL81","missing",""
"BOYSAW12","missing",""
"BOYSPH05","missing",""
"BOYSPH60","missing",""
"BOYSPH62","missing",""
"BOYSPH65","missing",""
"BOYSPH66","missing",""
"BOYSPH68","missing",""
"BOYSPH69","missing",""
"BOYSPH70","missing",""
"BOYSPH71","missing",""
"BOYSPH74","missing",""
"BOYSPH75","missing",""
"BOYSPH77","missing",""
"BOYSPH79","missing",""
"BOYSPP11","missing",""
"BOYSPP15","missing",""
"BOYSPP25","missing",""
"BOYSPR01","missing",""
"BOYSPR02","missing",""
"BOYSPR03","missing",""
"BOYSPR04","missing",""
"BOYSPR05","missing",""
"BOYSPR60","missing",""
"BOYSPR61","missing",""
"BOYSPR62","missing",""
"BOYSPR65","missing",""
"BOYSPR68","missing",""
"BOYSPR69","missing",""
"BOYSPR70","missing",""
"BOYSPR71","missing",""
"BOYSPR72","missing",""
"BOYSUP01","missing",""
"BOYSUP02","missing",""
"BOYSUP03","missing",""
"BOYSUP62","missing",""
"BOYSUP65","missing",""
"BOYSUP66","missing",""
"BRIDGE01","missing",""
"BRTHNO01","missing",""
"BUAARE02","missing",""
"BUIREL01","missing",""
"BUIREL04","missing",""
"BUIREL05","missing",""
"BUIREL13","missing",""
"BUIREL14","missing",""
"BUIREL15","missing",""
"BUISGL01","missing",""
"BUISGL11","missing",""
"BUNSTA01","missing",""
"BUNSTA02","missing",""
"BUNSTA03","missing",""
"CAIRNS01","missing",""
"CAIRNS11","missing",""
"CBLARE51","missing",""
"CGUSTA02","missing",""
"CHCRDEL1","missing",""
"CHCRID01","missing",""
"CHIMNY01","missing",""
"CHIMNY11","missing",""
"CHINFO06","missing",""
"CHINFO07","missing",""
"CHINFO08","missing",""
"CHINFO09","missing",""
"CHINFO10","missing",""
"CHINFO11","missing",""
"CHKSYM01","missing",""
"CLRLIN01","missing",""
"CRANES01","missing",""
"CROSSX02","missing",""
"CTNARE51","missing",""
"CTYARE51","missing",""
"CURDEF01","missing",""
"CURENT01","missing",""
"CURSRA01","missing",""
"CURSRB01","missing",""
"CUSTOM01","missing",""
"DANGER51","missing",""
"DANGER52","missing",""
"DANGER53","missing",""
"DASH","missing",""
"DAYSQR01","missing",""
"DAYSQR21","missing",""
"DAYTRI01","missing",""
"DAYTRI05","missing",""
"DGPS01DRFSTA01","missing",""
"DIAMOND1","missing",""
"DIRBOY01","missing",""
"DIRBOYA1","missing",""
"DIRBOYB1","missing",""
"DISMAR03","missing",""
"DISMAR04","missing",""
"DISMAR05","missing",""
"DISMAR06","missing",""
"DNGHILIT","missing",""
"DOMES001","missing",""
"DOMES011","missing",""
"DOTT","missing",""
"DQUALA11","missing",""
"DQUALA21","missing",""
"DQUALB01","missing",""
"DQUALC01","missing",""
"DQUALD01","missing",""
"DQUALU01","missing",""
"DSHAER01","missing",""
"DSHAER11","missing",""
"DWRTPT51","missing",""
"DWRUTE51","missing",""
"EBBSTR01","missing",""
"EBLVRM11","missing",""
"ERBLTIK1","missing",""
"ESSARE01","missing",""
"EVENTS02","missing",""
"FAIRWY51","missing",""
"FAIRWY52","missing",""
"FLASTK01","missing",""
"FLASTK11","missing",""
"FLDSTR01","missing",""
"FLGSTF01","missing",""
"FLTHAZ02","missing",""
"FOGSIG01","missing",""
"FORSTC01","missing",""
"FORSTC11","missing",""
"FOULGND1","missing",""
"FRYARE51","missing",""
"FRYARE52","missing",""
"FSHFAC02","missing",""
"FSHFAC03","missing",""
"FSHFAC04","missing",""
"FSHGRD01","missing",""
"FSHHAV01","missing",""
"FSHHAV02","missing",""
"GATCON03","missing",""
"GATCON04","missing",""
"HECMTR01","missing",""
"HECMTR02","missing",""
"HGWTMK01","missing",""
"HILTOP01","missing",""
"HILTOP11","missing",""
"HRBFAC09","missing",""
"HRBFAC10","missing",""
"HRBFAC11","missing",""
"HRBFAC12","missing",""
"HRBFAC13","missing",""
"HRBFAC14","missing",""
"HRBFAC15","missing",""
"HRBFAC16","missing",""
"HRBFAC17","missing",""
"HRBFAC18","missing",""
"HULKES01","missing",""
"ICEARE04","missing",""
"INFARE51","missing",""
"INFORM01","missing",""
"ISODGR51","missing",""
"ITZARE51","missing",""
"LITFLT01","missing",""
"LITFLT02","missing",""
"LITFLT10","missing",""
"LITFLT61","missing",""
"LITVES01","missing",""
"LITVES02","missing",""
"LITVES60","missing",""
"LITVES61","missing",""
"LNDARE01","missing",""
"LOCMAG01","missing",""
"LOCMAG51","missing",""
"MAGVAR01","missing",""
"MAGVAR51","missing",""
"MARCUL02","missing",""
"MARSHES1","missing",""
"MONUMT02","missing",""
"MONUMT12","missing",""
"MORFAC03","missing",""
"MORFAC04","missing",""
"MSTCON04","missing",""
"MSTCON14","missing",""
"NEWOBJ 01","missing",""
"NEWOBJ01","missing",""
"NMKINF01","missing",""
"NMKINF02","missing",""
"NMKINF03","missing",""
"NMKINF04","missing",""
"NMKINF05","missing",""
"NMKINF06","missing",""
"NMKINF19","missing",""
"NMKINF20","missing",""
"NMKINF21","missing",""
"NMKINF22","missing",""
"NMKINF23","missing",""
"NMKINF24","missing",""
"NMKINF25","missing",""
"NMKINF26","missing",""
"NMKINF27","missing",""
"NMKINF28","missing",""
"NMKINF29","missing",""
"NMKINF38","missing",""
"NMKINF40","missing",""
"NMKINF43","missing",""
"NMKINF44","missing",""
"NMKINF45","missing",""
"NMKINF46","missing",""
"NMKINF47","missing",""
"NMKINF48","missing",""
"NMKINF49","missing",""
"NMKINF50","missing",""
"NMKINF53","missing",""
"NMKPRH02","missing",""
"NMKPRH06","missing",""
"NMKPRH07","missing",""
"NMKPRH08","missing",""
"NMKPRH10","missing",""
"NMKPRH11","missing",""
"NMKPRH12","missing",""
"NMKPRH13","missing",""
"NMKPRH14","missing",""
"NMKRCD01","missing",""
"NMKRCD02","missing",""
"NMKRCD03","missing",""
"NMKRCD04","missing",""
"NMKRCD05","missing",""
"NMKRCD06","missing",""
"NMKREG01","missing",""
"NMKREG02","missing",""
"NMKREG03","missing",""
"NMKREG10","missing",""
"NMKREG11","missing",""
"NMKREG12","missing",""
"NMKREG13","missing",""
"NMKREG14","missing",""
"NMKREG15","missing",""
"NMKREG16","missing",""
"NMKREG17","missing",""
"NMKREG19","missing",""
"NMKREG20","missing",""
"NODATA03","missing",""
"NORTHAR1","missing",""
"NOTBRD11","missing",""
"NOTBRD12","missing",""
"NOTMRK01","missing",""
"NOTMRK02","missing",""
"NOTMRK03","missing",""
"OBSTRN01","missing",""
"OBSTRN02","missing",""
"OBSTRN03","missing",""
"OBSTRN11","missing",""
