object,primitive,csp,directActions,cspInstructions,passed,notes
"SOUNDG","1","sounding","1","1","true","direct_and_csp"
"LIGHTS","1","lights","1","2","true","direct_and_csp"
"WRECKS","1","wrecks05","1","1","true","direct_and_csp"
"WRECKS","3","wrecks05","1","4","true","direct_and_csp"
"DEPARE","3","depare03","1","1","true","direct_and_csp"
"RESARE","3","resare04","1","3","true","direct_and_csp"
"CBLSUB","2","cblsub02","1","1","true","direct_and_csp"
"BRIDGE","2","bridge02","0","2","true","csp"
"SBDARE","3","sbdare01","1","1","true","direct_and_csp"
"LNDARE","3","lndare01","1","1","true","direct_and_csp"
"DEPCNT","2","chart1_depth_contour","1","2","true","direct_and_csp"
"COALNE","2","chart1_coastline","1","1","true","direct_and_csp"
"SLCONS","2","chart1_shore_construction","1","1","true","direct_and_csp"
"BOYLAT","1","chart1_buoy","1","1","true","direct_and_csp"
"BCNLAT","1","chart1_beacon","1","1","true","direct_and_csp"
"LNDMRK","1","chart1_landmark","1","1","true","direct_and_csp"
"UWTROC","1","chart1_underwater_hazard","1","2","true","direct_and_csp"
"NAVLNE","2","chart1_routes","1","2","true","direct_and_csp"
"FOGSIG","1","chart1_services_points","1","1","true","direct_and_csp"
