# object	prim	csp	attributes	leastDepth	greatestDepth	lowAccuracy
SOUNDG	1	sounding	VALSOU=12.4	12.4		false
LIGHTS	1	lights	COLOUR=3;LITCHR=2			false
WRECKS	1	wrecks05	VALSOU=4.0;WATLEV=3;CATWRK=2	4.0	40.0	false
WRECKS	3	wrecks05	WATLEV=5;CATWRK=2	0.0	45.0	true
DEPARE	3	depare03	DRVAL1=0;DRVAL2=5			false
RESARE	3	resare04	CATREA=1,7			false
CBLSUB	2	cblsub02	CATCBL=1			false
BRIDGE	2	bridge02	VERCLR=15.0			false
SBDARE	3	sbdare01	NATSUR=4			false
LNDARE	3	lndare01				false
DEPCNT	2	chart1_depth_contour	VALDCO=30	30		false
COALNE	2	chart1_coastline	QUAPOS=1			false
SLCONS	2	chart1_shore_construction	CATSLC=6			false
BOYLAT	1	chart1_buoy	CATLAM=2;BOYSHP=1			false
BCNLAT	1	chart1_beacon	CATLAM=1			false
LNDMRK	1	chart1_landmark	CATLMK=5;CONVIS=1			false
UWTROC	1	chart1_underwater_hazard	VALSOU=4	4	40	false
NAVLNE	2	chart1_routes	ORIENT=270			false
FOGSIG	1	chart1_services_points	CATFOG=4			false
